d_node,t_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of d in cluster,jaccard_coefficient_cluster,degree_d_cluster,degree_t,preferential_attachment_cluster
110,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
335,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
010,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
174,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
184,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
464,ethylene-vinyl chloride,3,0.6,4,2,2,1.0,53,4,212
429,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,46,4,184
461,ethylene-vinyl chloride,3,0.6,4,1,2,0.5,51,4,204
170,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
156,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
467,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
105,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
055,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
365,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
389,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
425,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
090,ethylene-vinyl chloride,7,0.875,16,1,2,0.5,46,4,184
166,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
183,ethylene-vinyl chloride,4,0.5714285714285714,12,2,2,1.0,53,4,212
380,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
250,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
445,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
433,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
417,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
135,ethylene-vinyl chloride,5,0.5555555555555556,20,1,2,0.5,51,4,204
